id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime,popularity,year_released,release_day,release_month,domestic_gross_in_mill,production_budget_in_mill,domestic_net_in_mill,Return_on_Investment,release_day_num,release_month_num
69,2016-01-22,The 5th Wave,38000000,34912982,"Action,Adventure,Drama",tt2304933,112.0,12.967,2016,Friday,January,34.912982,38.0,-3.0870180000000005,-8.12373157894737,22,1
70,2009-02-06,Push,38000000,31811527,"Crime,Thriller",tt3481236,,,2009,Friday,February,31.811527,38.0,-6.188472999999997,-16.285455263157893,6,2
71,2013-09-20,Rush,38000000,26947624,"Action,Biography,Drama",tt1979320,123.0,14.623,2013,Friday,September,26.947624,38.0,-11.052375999999999,-29.0852,20,9
72,2001-05-18,Angel Eyes,38000000,24044532,,,,,2001,Friday,May,24.044532,38.0,-13.955468,-36.724915789473684,18,5
73,2001-12-21,Joe Somebody,38000000,22770864,,,,,2001,Friday,December,22.770864000000003,38.0,-15.229136,-40.076673684210526,21,12
74,2000-03-10,The Ninth Gate,38000000,18653746,,,,,2000,Friday,March,18.653746,38.0,-19.346254,-50.9111947368421,10,3
75,2017-10-20,Only the Brave,38000000,18340051,"Action,Biography,Drama",tt3829920,134.0,14.163,2017,Friday,October,18.340051000000006,38.0,-19.659949,-51.73670789473685,20,10
77,2011-10-14,The Thing,38000000,16999934,"Horror,Mystery,Sci-Fi",tt0905372,103.0,12.349,2011,Friday,October,16.999934,38.0,-21.000066,-55.263331578947366,14,10
78,2001-09-07,Rock Star,38000000,16991902,"Action,Drama,Romance",tt5024572,,,2001,Friday,September,16.991902,38.0,-21.008098,-55.28446842105264,7,9
80,2008-10-10,City of Ember,38000000,7873007,,,,,2008,Friday,October,7.873007,38.0,-30.126993,-79.2815605263158,10,10
82,2018-09-21,The Sisters Brothers,38000000,3143056,"Adventure,Comedy,Crime",tt4971344,122.0,13.738,2018,Friday,September,3.143056,38.0,-34.856944,-91.7288,21,9
83,2001-11-30,Texas Rangers,38000000,623374,,,,,2001,Friday,November,0.623374,38.0,-37.376626,-98.35954210526316,30,11
84,2008-08-26,Virgin Territory,38000000,0,,,,,2008,Tuesday,August,0.0,38.0,-38.0,-100.0,26,8
85,2019-01-11,The Upside,37500000,108235497,"Comedy,Drama",tt1987680,126.0,28.138,2019,Friday,January,108.235497,37.5,70.735497,188.627992,11,1
86,2012-05-18,What to Expect When You're Expecting,37500000,41152203,"Comedy,Drama,Romance",tt1586265,110.0,12.27,2012,Friday,May,41.152203,37.5,3.652203,9.739208,18,5
87,2012-09-14,The Master,37500000,16247159,Drama,tt1560747,138.0,12.829,2012,Friday,September,16.247159,37.5,-21.252841,-56.67424266666666,14,9
88,2008-10-10,The Express,37500000,9793406,"Horror,Thriller",tt6413518,90.0,,2008,Friday,October,9.793406,37.5,-27.70659400000001,-73.88425066666667,10,10
89,2008-11-21,Twilight,37000000,192769854,Documentary,tt8125482,7.0,,2008,Friday,November,192.769854,37.0,155.769854,420.99960540540536,21,11
90,2013-08-07,We're the Millers,37000000,150394119,"Comedy,Crime",tt1723121,110.0,14.745999999999999,2013,Wednesday,August,150.394119,37.0,113.39411899999999,306.47059189189184,7,8
91,2015-11-25,Creed,37000000,109767581,Horror,tt1632705,77.0,16.355999999999998,2015,Wednesday,November,109.767581,37.0,72.767581,196.66913783783787,25,11
92,2010-09-17,The Town,37000000,92186262,"Crime,Drama,Thriller",tt0840361,125.0,13.475999999999999,2010,Friday,September,92.186262,37.0,55.186262,149.15205945945945,17,9
93,2011-09-23,Dolphin Tale,37000000,72286779,"Drama,Family",tt1564349,113.0,10.679,2011,Friday,September,72.28677900000002,37.0,35.286778999999996,95.36967297297295,23,9
94,2018-02-23,Game Night,37000000,69179066,Comedy,tt2355597,,19.459,2018,Friday,February,69.179066,37.0,32.17906600000001,86.97044864864866,23,2
95,2008-09-12,Burn After Reading,37000000,60355347,,,,,2008,Friday,September,60.355347,37.0,23.355347000000002,63.12255945945946,12,9
96,2004-04-23,13 Going On 30,37000000,57139723,,,,,2004,Friday,April,57.139723,37.0,20.139723,54.43168378378378,23,4
97,2008-04-04,Nim's Island,37000000,48006762,,,,,2008,Friday,April,48.006762,37.0,11.006762000000002,29.74800540540541,4,4
98,2016-02-12,How to be Single,37000000,46843513,,,,,2016,Friday,February,46.843513,37.0,9.843513000000002,26.6040891891892,12,2
99,2010-02-26,Cop Out,37000000,44875481,"Action,Comedy,Crime",tt1385867,107.0,8.82,2010,Friday,February,44.875481,37.0,7.8754810000000015,21.28508378378379,26,2
100,2011-01-28,The Rite,37000000,33047633,"Drama,Horror,Mystery",tt1161864,114.0,9.676,2011,Friday,January,33.047633000000005,37.0,-3.9523670000000015,-10.68207297297298,28,1
1,2008-07-18,Space Chimps,37000000,30105968,,,,,2008,Friday,July,30.105968,37.0,-6.8940319999999975,-18.632518918918915,18,7
3,2015-05-29,Aloha,37000000,21052030,"Comedy,Drama,Romance",tt1243974,105.0,9.685,2015,Friday,May,21.05203,37.0,-15.947970000000002,-43.10262162162164,29,5
4,2009-12-31,Obitaemyy ostrov,36500000,0,,,,,2009,Thursday,December,0.0,36.5,-36.5,-100.0,31,12
5,2018-10-05,A Star is Born,36000000,215288866,"Documentary,Music",tt1776364,75.0,,2018,Friday,October,215.288866,36.0,179.28886599999996,498.02462777777777,5,10
6,2011-02-11,Gnomeo and Juliet,36000000,99967670,,,,,2011,Friday,February,99.96767,36.0,63.96767,177.6879722222222,11,2
7,2002-02-15,John Q,36000000,71026631,,,,,2002,Friday,February,71.02663100000002,36.0,35.026630999999995,97.29619722222219,15,2
10,2010-03-26,Hot Tub Time Machine,36000000,50269859,"Comedy,Sci-Fi",tt1231587,101.0,10.15,2010,Friday,March,50.269859,36.0,14.269858999999995,39.638497222222206,26,3
12,2014-09-12,Dolphin Tale 2,36000000,42024533,"Drama,Family",tt2978462,107.0,7.403,2014,Friday,September,42.024533,36.0,6.024532999999997,16.734813888888883,12,9
